"L11" "L21" "A1" "L12" "L22" "A2" "L13" "L23" "A3" "C1" "C2" "C3" "Y" "weight_freq"
1 -1.33877428723497 1 1 -1.21001670245672 0 0 -1.69075541626396 1 0 0 0 1 0.763886467940841
0 0.6608202977898 0 0 -0.525871254508353 1 1 -0.0681738093923008 0 0 0 0 1 1.18615604807488
0 -0.522912376313422 0 0 0.0475904572901102 1 1 -0.0735655860403077 1 0 0 0 1 1.16692509080276
0 0.683745521850712 1 0 0.712306790770233 0 1 1.43239159182028 1 0 0 0 0 2.57764191099904
0 -0.0608219546600742 0 0 -1.4140881156316 0 0 -1.30359048930429 1 0 0 0 1 0.776414818836104
1 0.632960713031451 1 1 1.30658732654629 0 0 -0.127693964703882 0 0 0 0 0 3.37365449986372
0 1.33551761505939 1 0 0.00972810235133373 0 1 0.306940614987878 1 0 0 0 0 2.09609450498039
0 0.00729009031689879 0 1 1.12481582580709 1 0 0.168093068417884 1 0 0 0 1 2.59876366846826
0 1.01755863695209 0 1 0.581040637564961 1 0 0.964518672784734 0 0 0 0 0 3.00831025394063
1 -1.18843403514798 0 1 -1.12663986214071 1 1 -0.777920502684289 1 0 0 0 1 0.597089565779766
0 -0.721604440436015 0 NA NA NA NA NA NA 0 1 NA NA NA
1 1.51921771138818 1 1 -1.0405633628931 0 0 0.122338162468896 1 0 0 0 1 1.96313655545702
0 0.377387973023929 0 0 0.147353686594534 1 1 -0.969930972465495 1 0 0 0 0 1.31947462124227
0 -2.05222282043373 0 1 -0.198258865099723 0 1 0.793842463729234 1 0 0 0 1 0.654295106689599
1 -1.36403745208238 1 NA NA NA NA NA NA 0 1 NA NA NA
1 -0.200781015589121 0 1 1.07505060452968 1 1 0.175672673637714 1 0 0 0 1 1.74010812271081
1 0.865779404334488 0 1 1.63188016647022 0 0 -1.09090568037762 1 0 0 0 1 2.67552044877758
0 -0.101883255715222 1 1 -1.69425788376855 0 0 -0.800679683677603 1 0 0 0 0 0.882516570472774
0 0.624187472020653 0 1 0.784394298203437 1 1 -1.87576598204031 0 0 0 0 1 1.34702413979013
1 0.959005377787825 1 0 -1.2541365244603 1 1 -1.35855320719548 1 0 0 0 1 1.26000453060016
0 1.67105482886294 0 0 0.710327435743186 1 NA NA NA 0 0 1 NA NA
1 0.0560167332749619 1 1 0.256671105484164 0 1 -0.711284277156666 1 0 0 0 1 1.37494992935936
0 -0.051981906180899 1 0 0.342348694608322 1 1 -1.10499256263012 0 0 0 0 1 1.69970531919609
0 -1.75323735914227 0 0 -1.72579328320461 1 1 -0.808121988614338 1 0 0 0 1 0.463544311821731
1 0.0993275940878275 0 1 -0.536972657431652 1 1 -1.55060845880153 0 0 0 0 1 0.856704200786603
0 -0.571850057895563 1 1 -1.76208859994495 1 1 -2.34963940184502 0 0 0 0 0 0.564144391546522
0 -0.974009582804091 1 1 -0.647461131497131 1 1 0.197785122066191 1 0 0 0 1 0.961611845742556
1 -0.17990623104754 1 1 -2.34902827995754 1 1 -0.205343730306699 1 0 0 0 1 0.693349877387331
1 1.01494317274366 0 1 -2.32185385517953 1 1 -0.767446543379518 0 0 0 0 0 0.6528222551779
0 -1.99274848868858 1 0 -0.0265619624714322 0 1 -1.50452348637717 1 0 0 0 1 0.892293139315811
0 -0.427279287205429 1 1 1.55983326939201 1 1 1.35656971729126 0 0 0 0 1 2.87031069285033
1 0.116637283582706 0 0 -0.596714898447475 1 1 -2.02689501996344 0 0 0 0 1 0.95349231623912
0 -0.893207570054953 0 1 0.314498702067416 1 1 -0.614701670948099 1 0 0 0 0 0.954947189411604
1 0.333902942499225 0 1 -0.0405513124601086 1 1 0.014182547082681 1 0 0 0 1 1.24595245682215
1 0.411429920615731 1 0 0.980028760023857 0 1 0.276127299621903 1 0 0 0 1 2.60059678828186
1 -0.0330361592759917 1 1 -0.162374147068615 0 0 -0.431579877152123 1 0 0 0 0 1.63596880418295
0 -2.46589819376003 0 0 -1.02928513176386 1 1 -0.889260139651379 1 0 0 0 1 0.54852315553661
0 2.57145814586664 1 0 -1.01340737883255 1 0 -0.578845667309754 1 0 0 0 1 2.9566723493585
1 -0.205299257468199 0 1 0.780306052063655 0 1 0.601503705105085 1 0 0 0 0 1.3486480208076
0 0.65119328158767 0 0 -0.0252569742530204 1 0 -2.23898974099315 1 0 0 0 1 1.54935192177797
0 0.273766491036548 0 1 -1.26660683919675 0 NA NA NA 0 0 1 NA NA
1 1.02467323481835 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.817659446374088 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.209793171228509 1 0 0.454310287051899 0 1 -0.0902051406366803 1 0 0 0 1 1.63467555832931
1 0.378167772208507 0 1 -1.17831214615974 1 1 -1.99180771351404 1 0 0 0 1 0.712202594150018
1 -0.945408831123893 1 0 -1.73034804288039 1 1 -2.73276182303618 1 0 0 0 0 0.656163464723609
1 0.856923010899318 0 0 1.71658143383282 0 0 0.129483467996577 1 0 0 0 0 4.04890173098959
0 -0.461038338884354 0 NA NA NA NA NA NA 0 1 NA NA NA
1 2.41677335378821 0 1 2.17160122079647 0 1 0.250594561525042 1 0 0 0 1 4.06591390015997
0 -1.65104889568819 0 1 0.835999497503787 1 1 0.312702436872472 1 0 0 0 0 1.17093560657144
0 -0.463987242966015 1 0 -0.527962641653111 0 1 0.103519910071204 1 0 0 0 1 1.08670282670739
0 0.825379862759242 0 1 -0.169193755490154 0 1 -1.89333531243135 1 0 0 0 1 0.936180655384465
0 0.510132546878663 1 1 0.310270335302754 0 0 0.272467012449706 1 0 0 0 0 2.24690911474613
1 -0.589481038515 1 0 0.0639826065684279 1 0 0.0736959615021572 1 0 0 0 0 2.56865115265432
0 -0.996780742207522 0 0 1.91524290036729 0 0 0.696294460269131 0 0 0 0 0 3.16902004090172
0 0.144475704710697 1 1 -2.39274448035584 0 NA NA NA 0 0 1 NA NA
0 -0.0143074131669134 1 1 -0.233918003516639 1 0 -1.24919730871205 1 0 0 0 0 1.6251586142831
1 -1.79028123726406 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.034551067133851 1 1 -0.737323121793458 1 1 -2.07570168626404 1 0 0 0 1 1.00194889210903
1 0.190230315692457 1 1 -2.16270709063888 1 0 -1.35614594567954 1 0 0 0 1 0.983299385769621
1 0.174726396981842 1 0 0.128864090577165 0 0 -1.16038454704691 1 0 0 0 1 2.03492529926055
1 -1.05501704260268 1 1 -2.00659426256526 1 1 -2.29376178660975 0 0 0 0 0 0.534535373024472
1 0.476133278302629 0 1 0.543928137981827 0 1 -0.841674000147577 0 0 0 0 1 1.25974041805111
1 1.37857013695924 0 1 1.39683677449747 0 1 -0.372499327107933 0 0 0 0 0 2.20103303806724
1 0.456236403179813 1 1 0.8120752120645 0 1 -0.162518033761323 0 0 0 0 1 1.91688184998035
1 -1.13558847037434 0 1 -2.32565803257274 1 NA NA NA 0 0 1 NA NA
1 -0.435645469691905 0 1 0.663919113333164 1 0 -1.06800232251545 0 0 0 0 1 1.77983748333985
0 0.346103619553607 0 1 -0.583929547169216 0 1 -0.745398670367233 1 0 0 0 1 0.78636550984805
0 -0.647045631318269 0 0 -1.6125422895081 1 1 -2.89116875283323 1 0 0 0 0 0.491319595879023
0 -2.15764633501528 1 NA NA NA NA NA NA 0 1 NA NA NA
0 0.884250820028209 0 0 1.58838538327908 0 0 1.42603885059639 0 0 0 0 0 4.40898159355087
0 -0.829477611624518 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.573560270768283 1 NA NA NA NA NA NA 0 1 NA NA NA
0 1.50390060900454 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.774144929605405 1 NA NA NA NA NA NA 0 1 NA NA NA
0 0.845731540189296 0 1 0.329142536333776 0 1 0.0177641950716903 0 0 0 0 1 1.27668978032158
0 -1.26068287881878 0 1 -0.911081493913392 1 0 -1.35404820253371 0 0 0 0 1 0.766528914748914
1 -0.354542403073978 0 1 0.356827534960254 0 1 0.471061528600871 1 0 0 0 0 1.10752531634146
1 -0.0735560191364783 1 0 0.800549525927707 1 0 -0.0624841759429146 0 0 0 0 0 3.74944865003083
0 -1.16865142442436 0 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.634748264908909 0 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.0288415529283144 1 1 1.12233657270134 0 0 0.0166835800171184 0 0 0 0 1 2.56998706911091
0 0.67069596873393 0 1 0.00630601384042717 1 NA NA NA 0 0 1 NA NA
0 -1.65054654342511 1 1 -3.92931144231966 1 1 -3.4163545947568 1 0 0 0 1 0.235562094235908
1 -0.349754239211268 1 1 -0.360893333157703 0 1 0.69365485686207 0 0 0 0 1 1.16012450399408
0 0.756406438545484 1 1 -1.00826479183852 1 1 -1.11031024025977 1 0 0 0 0 1.06574774847012
0 -0.538809159977592 1 1 -1.76794298599272 1 0 -2.35703832248461 0 0 0 0 1 0.755186180955256
0 0.227291921672942 0 1 1.53446277442132 0 1 1.15848012215908 1 0 0 0 1 1.92503006275069
1 0.492228570064431 0 1 2.49411229204745 0 1 1.39728462470186 1 0 0 0 0 3.36504396761105
0 0.267835015331683 0 0 -0.905865033737701 0 1 -0.590512098051758 1 0 0 0 1 0.819935673111053
1 0.653257679471382 0 0 1.15765402140245 1 1 0.479708877741296 1 0 0 0 0 2.70073683321388
0 -0.12270866097738 0 1 -0.155502168858323 1 1 -1.6841300797136 0 0 0 0 1 0.835341227751839
0 -0.41367651359212 0 1 -0.0650307975756123 1 1 -0.931355651349874 0 0 0 0 1 0.874891157341686
1 -2.64314895202898 0 0 -0.299337774558086 1 1 -1.64882359160627 1 0 0 0 0 0.728118415813833
1 -0.092941018479472 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.430284696359987 1 1 -1.13622300568076 0 1 -1.09951015302207 1 0 0 0 1 0.867707274531219
0 0.53539884086815 1 1 -0.702709454308787 1 1 -0.883329925905909 1 0 0 0 0 1.13940925945144
0 -0.555278351313252 1 1 -0.0915039203577533 1 1 -1.65875749086239 1 0 0 0 1 1.03242851351593
1 1.77950290977515 1 1 -2.14619587697233 1 1 -1.94815606677062 1 0 0 0 1 1.00285823992476
0 0.286424419628825 0 0 1.23845659166288 1 1 -1.71121782505479 1 0 0 0 1 1.90629143418691
1 0.126315858458886 1 1 -2.2039921696028 1 0 -2.24873333673612 1 0 0 0 0 0.850827301875496
1 1.27226677946852 1 0 -0.0419355474473581 1 1 0.649699501002415 1 0 0 0 1 2.56209850994348
1 -0.718466221319259 0 1 -0.74959208825159 1 1 -2.22621194180552 0 0 0 0 1 0.646522087099697
1 -0.450338623924712 1 1 0.367900174061989 1 0 -1.7089819330157 0 0 0 0 1 1.91765021580449
0 2.39745248004976 0 1 1.38757555508151 1 0 -0.226073680966335 0 0 0 0 0 4.61476508315693
1 0.011129187220888 0 1 -0.0924962714843441 0 1 0.288422597240954 1 0 0 0 1 1.00391300269486
1 1.63356842140831 1 0 0.814920019562751 0 1 1.64356917530167 1 0 0 0 0 3.70660208939235
1 -1.43850664491452 0 0 -1.74626787864769 1 1 1.28060678927997 1 0 0 0 1 0.663042014939637
1 -0.190516802042901 0 1 -0.491157257087827 1 1 -0.144685390469162 1 0 0 0 0 0.943344660452554
0 0.378423903636832 1 0 0.866796365626184 1 1 0.604851709366755 1 0 0 0 1 2.77283468874237
1 0.300038545205798 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -1.00563625951084 1 NA NA NA NA NA NA 0 1 NA NA NA
1 0.0192592746253708 0 1 0.447586004723566 1 NA NA NA 0 0 1 NA NA
0 -1.07742065311198 1 1 -2.41629995115971 0 NA NA NA 0 0 1 NA NA
0 0.712703325244282 1 1 -0.741959141097529 0 1 -1.99106761538929 1 0 0 0 0 0.990958992716418
1 1.08477508986065 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -2.22498769648741 1 1 -4.06353902368956 1 NA NA NA 0 0 1 NA NA
1 1.23569346230014 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -1.24104449680849 0 1 0.680850424422179 1 0 -0.817455644581961 0 0 0 0 1 1.49782326101458
0 0.454769268982633 0 1 -0.587408149561338 1 1 -1.98665984077011 1 0 0 0 1 0.796279435899446
1 0.659902638142608 0 1 1.37365833765022 1 1 0.130901765491103 1 0 0 0 0 2.29543224483968
1 -0.199889828101433 0 0 -0.468195114806823 1 0 -0.142957034967722 0 0 0 0 0 1.6108720821008
1 -0.645113956859792 0 0 -0.0947813000669724 1 1 -0.776001887906894 0 0 0 0 0 1.11083124185149
0 0.16532102124205 1 NA NA NA NA NA NA 0 1 NA NA NA
0 0.438818700714454 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.883302819948705 0 1 -0.062939513172253 1 1 -0.742237833599919 0 0 0 0 1 1.28036556282895
0 -2.05233698390195 1 0 -1.94126566159661 1 1 -2.03197630297531 1 0 0 0 1 0.482733922573722
1 -1.63637926805902 1 NA NA NA NA NA NA 0 1 NA NA NA
0 1.43040234118818 1 1 0.341348239691671 1 NA NA NA 0 0 1 NA NA
1 1.04662884711155 0 1 0.796114846666859 0 1 0.29994550697296 1 0 0 0 1 1.73155789740095
1 0.435288948907682 0 0 -0.323109066487109 0 0 -1.0594803173919 0 0 0 0 0 1.39508448870077
1 0.71517840711106 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.917174917641003 0 0 1.83734212767781 0 0 -1.56785284054205 0 0 0 0 0 3.26780241095186
1 -2.66092279846568 1 NA NA NA NA NA NA 0 1 NA NA NA
0 1.11027709663882 0 0 0.575274851080171 0 1 -0.200389797420824 1 0 0 0 0 1.77382079831491
0 -0.484987596562325 0 0 0.134468365859905 1 1 1.55438299107975 0 0 0 0 0 1.4896646337868
0 0.230616830631202 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.295157800883577 1 1 1.31148525573524 0 1 0.937579988267014 1 0 0 0 1 2.0156123615935
0 0.871964954078744 0 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.348472448955611 0 1 1.83705675536782 1 1 0.466200787020687 1 0 0 0 1 2.18137481632565
0 0.518503765888248 0 1 -0.0923400059350553 0 1 0.271949832383127 1 0 0 0 0 1.04647975248162
1 -0.390684978638979 1 1 0.461777157530001 1 0 1.52830231264909 0 0 0 0 1 3.52820446098767
0 -1.09278720910151 1 0 -3.04557101555822 1 1 -1.09527668409844 1 0 0 0 1 0.424669560919842
1 1.21001051044026 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.740900011274274 0 1 1.246881270614 1 1 1.71370685429444 0 0 0 0 1 2.52829683272552
0 1.72426223915645 1 1 -0.909085851981859 1 1 -0.57134517680097 1 0 0 0 1 1.49230828662766
1 0.0651539325793032 NA NA NA NA NA NA NA 1 NA NA NA NA
1 1.12500274582817 1 1 0.0560262183843085 0 1 1.07304325781066 0 0 0 0 0 1.95278915536018
0 1.97541905401908 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -0.281482115038967 1 1 -1.60674036154816 1 1 -0.77787948931644 1 0 0 0 1 0.798880166103555
1 -1.32295111275522 0 0 -1.08560155543091 0 0 -0.817280995847721 0 0 0 0 1 0.769296989769208
1 -0.239351567138116 1 NA NA NA NA NA NA 0 1 NA NA NA
0 -0.214041239985383 0 0 -1.23436786084418 0 1 -0.577541303094633 1 0 0 0 1 0.656723649758975
0 0.15168050450932 0 NA NA NA NA NA NA 0 1 NA NA NA
0 1.71230497731928 0 0 1.30492067789454 0 1 2.68711355787713 0 0 0 0 0 3.76280938636875
1 -0.326143892505348 1 1 -1.968886474809 1 1 -2.24334083679334 1 0 0 0 1 0.625493318456333
1 0.373004655804915 0 1 -0.681365514271324 1 1 -1.39646216780768 1 0 0 0 0 0.87585177642931
1 -0.227684064895531 1 1 -0.0305645221455684 0 0 1.10913512928466 0 0 0 0 0 2.07861847818792
1 0.0204507085250325 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.314057663506262 1 1 1.08212710922061 0 0 1.50918998179954 0 0 0 0 0 3.50025231656373
1 1.32821469603699 1 1 -0.637676614073093 0 NA NA NA 0 0 1 NA NA
0 0.121318377490778 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.712842320031113 0 1 1.40424808649382 1 1 -0.24881283517951 0 0 0 0 1 2.05142802765426
0 0.778860029783535 0 0 -0.219191603542361 0 0 -1.07870944217784 0 0 0 0 0 1.47128876829306
0 0.914773270855634 1 0 0.0777271622503729 0 1 -0.264448372241823 0 0 0 0 0 1.82624686185729
1 -0.574394552184383 1 1 0.73184453775961 0 1 -0.489344870785379 0 0 0 0 1 1.45871871271024
0 1.62688121419468 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.380956739294013 0 1 1.15907695774997 0 1 0.0885548958513585 1 0 0 0 1 1.43176240022127
1 -0.105784167649752 1 1 -1.85003173375732 1 0 -1.70779707132296 1 0 0 0 0 0.965847569247188
1 1.40405026771417 NA NA NA NA NA NA NA 1 NA NA NA NA
0 1.29408390614558 0 1 0.893841164943788 1 1 -0.0378804119171765 1 0 0 0 1 1.96890173377899
1 -1.08999187241124 0 0 -1.48176747555707 0 1 -2.35282009468216 1 0 0 0 1 0.494991784584756
0 -0.873071000417463 0 NA NA NA NA NA NA 0 1 NA NA NA
1 -1.35807905937061 0 0 -0.802395866090799 0 1 1.47890841022043 1 0 0 0 1 0.794735763218691
0 0.181847192619832 0 1 0.346088358763998 0 1 0.730305876804698 0 0 0 0 1 1.17106412493603
1 0.164840867918466 0 1 0.159867250993911 1 1 0.0146622595574 1 0 0 0 1 1.29386243077953
1 0.364114687355063 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.552157714218558 1 0 -0.884406708867432 0 1 0.234925762593473 1 0 0 0 0 1.32720790330648
0 -0.601892845985016 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.993698591098714 0 1 -0.259911416421727 0 0 -0.407610749610812 0 0 0 0 1 0.922440401474743
1 1.0267850560749 1 1 -0.728196643584246 0 0 0.260940440861624 1 0 0 0 1 1.9292543224962
0 0.751061302606323 1 1 1.09475829834623 0 1 1.46794817987931 0 0 0 0 0 2.50408527561755
1 -1.5091665373287 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.0951474508492868 1 1 -1.36284204152112 1 1 0.563916056898267 0 0 0 0 1 1.04103305195993
0 -0.895947822756499 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -2.07075107054196 1 NA NA NA NA NA NA 0 1 NA NA NA
0 0.150120131188143 0 1 2.12107891772689 1 1 0.045421844030807 1 0 0 0 1 2.55134849562649
1 -0.0792117092585882 NA NA NA NA NA NA NA 1 NA NA NA NA
1 -0.097369267513081 0 1 -1.0846839396094 1 1 -2.1649273922586 0 0 0 0 1 0.655473243884061
1 0.216152541801233 0 1 0.561023773678464 1 0 -0.0121190276804128 0 0 0 0 0 2.28928388260231
1 0.882465164396587 1 1 0.182525707041227 1 1 -0.344725712098879 0 0 0 0 1 1.93520851015187
1 0.205597504483387 1 1 0.154427808832969 0 0 -0.031502541641851 1 0 0 0 1 2.03473113971563
1 -0.616435842873528 0 1 -0.786193006592101 1 1 -1.7737839321618 1 0 0 0 1 0.674081986111682
1 -0.734799251921281 NA NA NA NA NA NA NA 1 NA NA NA NA
0 -0.131802793041181 NA NA NA NA NA NA NA 1 NA NA NA NA
0 0.310016986578952 1 1 -0.393868274684183 0 1 -1.32609349444732 1 0 0 0 0 1.03365435083773
0 -1.03968035270204 1 1 -1.72398051356898 1 1 -1.96808048941068 1 0 0 0 1 0.537249548869845
1 -0.184308868842384 NA NA NA NA NA NA NA 1 NA NA NA NA
1 0.967267260167914 1 1 -0.0863596085139069 1 NA NA NA 0 0 1 NA NA
0 -0.108280091234486 1 1 0.555568036152893 1 0 -0.708981183358739 0 0 0 0 0 2.32109558131449
0 -0.69842066759439 1 0 1.20929053518415 1 1 -0.286642034195002 0 0 0 0 0 2.36809531210581
0 -0.27594516842554 1 1 -0.497317052487786 0 0 -1.06556009047647 1 0 0 0 1 1.17815577385043
1 1.11464854536198 0 0 -0.177292379517392 1 1 -1.36249049929158 0 0 0 0 1 1.44593350034303
1 0.550043961214136 0 0 -0.748494745911636 1 0 -1.07087429617479 0 0 0 0 1 1.46005290481572
1 1.23667580008161 0 1 0.155303917810158 1 0 0.511672502025513 1 0 0 0 1 2.66665182833851
0 0.139097857161771 0 0 -0.0000529077794923088 1 0 -0.857827639416424 1 0 0 0 0 1.69385454174714
0 0.410275096490425 0 1 2.19693946296579 0 1 -0.384734132140211 1 0 0 0 1 2.23311121592442
1 -0.558456912348133 1 1 -2.10833799891183 1 1 -2.8232208039566 1 0 0 0 1 0.550035987816388
1 0.605370668930333 1 1 -1.49053210205972 1 1 -3.44961370010099 1 0 0 0 0 0.8178555333563
